d_t_1                                             d_t_2                                             d_beam_w                                          d_max                                             Frequency (Hz)                                    Quality factor                                    abs(solid.Qted) (W)
3.000000000000044                                 5.0000000000001625                                2                                                 20000.0000000003                                  146979.7591585282+4.083527132291508i              17996.66739033629                                 2.9735812134920094E-15
3.000000000000044                                 5.0000000000001625                                2                                                 20000.0000000003                                  294003.3887835126+8.167014184094144i              17999.441543526693                                1.5736273780502066E-14
3.000000000000044                                 5.0000000000001625                                2                                                 20000.0000000003                                  441084.9401733786+12.253230621664464i             17998.720247439072                                4.4040781738278184E-14
3.000000000000044                                 5.0000000000001625                                2                                                 20000.0000000003                                  588259.5249226645+16.340320131576533i             18000.24479893388                                 9.440161470462024E-14
3.0000000000000444                                5.000000000000116                                 2                                                 15000.000000000131                                146439.74269504964+4.068177492106154i             17998.199805588694                                2.8622136636645466E-15
3.0000000000000444                                5.000000000000116                                 2                                                 15000.000000000131                                292913.39736129734+8.137160716019586i             17998.50141737086                                 1.5343048876970283E-14
3.0000000000000444                                5.000000000000116                                 2                                                 15000.000000000131                                439442.97152902663+12.210216096819275i            17994.889199524085                                4.323653806879352E-14
3.0000000000000444                                5.000000000000116                                 2                                                 15000.000000000131                                586059.0002092647+16.38599883687609i              17882.91962069318                                 9.263692722168749E-14
2.999999999999941                                 4.999999999999868                                 2                                                 10000.000000000235                                145947.4747242467+4.054241886815189i              17999.35460176601                                 2.6451256440398897E-15
2.999999999999941                                 4.999999999999868                                 2                                                 10000.000000000235                                291923.7406131909+8.109028370673128i              17999.92103054846                                 1.4520425109495973E-14
2.999999999999941                                 4.999999999999868                                 2                                                 10000.000000000235                                437954.4018144855+12.165570604490421i             17999.747650670455                                4.1526385867788315E-14
2.999999999999941                                 4.999999999999868                                 2                                                 10000.000000000235                                584067.9769783469+16.223849357126053i             18000.28970072304                                 8.964391341901492E-14
